,Epoch,elapsed,train_loss,train_accuracy,valid_loss,valid_accuracy,train_F1_<unk>,train_F1_<pad>,train_F1_the,train_F1_to,valid_F1_<unk>,valid_F1_<pad>,valid_F1_the,valid_F1_to
0,1,00:02:05,1.0792533159255981,0.6917414665222168,0.9018980264663696,0.8422073125839233,,0.769996166229248,0.1643221229314804,0.0038402238860726357,,0.9096236824989319,0.5452357530593872,0.04173930361866951
1,2,00:02:07,0.8489239811897278,0.909213662147522,0.861238956451416,0.9162946343421936,,0.950107991695404,0.4633588492870331,0.005443186964839697,,0.9535771012306213,0.6956816911697388,0.06847799569368362
2,3,00:02:07,0.8205221891403198,0.9177286624908447,0.8647273182868958,0.9214205741882324,,0.9547064304351807,0.5844658613204956,0.005631978623569012,,0.9567708373069763,0.7071939706802368,0.07053377479314804
3,4,00:02:08,0.8048785924911499,0.9298354983329773,0.8627311587333679,0.931399405002594,,0.9613729119300842,0.5927241444587708,0.005882694385945797,,0.9621207118034363,0.7174199223518372,0.08581770956516266
