,Epoch,elapsed,train_loss,train_accuracy,valid_loss,valid_accuracy,train_F1_<pad>,train_F1_video,train_F1_sponsor,valid_F1_<pad>,valid_F1_video,valid_F1_sponsor
0,1,00:03:26,0.8020018339157104,0.94536292552948,0.8047186732292175,0.9471961259841919,,0.9661494493484497,0.0043725925497710705,,0.9710825681686401,0.0
1,2,00:03:21,0.7863142490386963,0.9431228637695312,0.7293121218681335,0.9538763761520386,,0.9649191498756409,0.1230236142873764,,0.9742587804794312,0.4251965880393982
2,3,00:03:24,0.6335241794586182,0.9609775543212891,0.6163619160652161,0.9729817509651184,,0.9751958250999451,0.6464451551437378,,0.98415607213974,0.7527285814285278
3,4,00:03:18,0.602182149887085,0.9703722596168518,0.6123564839363098,0.9695262312889099,,0.9798558950424194,0.7333488464355469,,0.9822701215744019,0.7374248504638672
4,5,00:03:19,0.5947644114494324,0.9758307933807373,0.6088261008262634,0.9661133289337158,,0.982312023639679,0.776557445526123,,0.9803443551063538,0.7260839343070984
5,6,00:03:40,0.590674102306366,0.9775835871696472,0.6087448000907898,0.9728278517723083,,0.9838550686836243,0.7825368046760559,,0.984052836894989,0.760003387928009
6,7,00:03:34,0.5862569212913513,0.9800402522087097,0.6106951832771301,0.9694606065750122,,0.9852713346481323,0.7994739413261414,,0.9821916222572327,0.7395883798599243
7,8,00:03:08,0.5841194987297058,0.9804012775421143,0.6066102385520935,0.9697440266609192,,0.9853710532188416,0.8057973980903625,,0.9823971390724182,0.743166446685791
8,9,00:03:06,0.5809918642044067,0.9820427298545837,0.6075900197029114,0.9623522162437439,,0.9865537881851196,0.8152307271957397,,0.9784067273139954,0.70663982629776
9,10,00:03:08,0.5782949924468994,0.984155535697937,0.6058046221733093,0.9771161675453186,,0.987276554107666,0.8342987895011902,,0.9862774610519409,0.7869543433189392
10,11,00:03:07,0.5763089060783386,0.985416829586029,0.6116502285003662,0.976887583732605,,0.987932026386261,0.8461543321609497,,0.9861626029014587,0.7779935598373413
11,12,00:03:08,0.5752401947975159,0.985874354839325,0.6123144030570984,0.9772779941558838,,0.9877957701683044,0.8537123799324036,,0.9862946271896362,0.7825810313224792
12,13,00:03:09,0.5728363990783691,0.9877738952636719,0.6055648922920227,0.9761523604393005,,0.98836350440979,0.8754810690879822,,0.9857274889945984,0.7818989157676697
13,14,00:03:07,0.5715324878692627,0.988438069820404,0.6040695905685425,0.9762448072433472,,0.9889339208602905,0.8771830797195435,,0.9858276844024658,0.78331059217453
14,15,00:03:09,0.5742948055267334,0.9837878346443176,0.6036691069602966,0.9729114174842834,,0.9865038394927979,0.8423295021057129,,0.9839769601821899,0.765405535697937
15,16,00:03:07,0.5732307434082031,0.9871731400489807,0.6063091158866882,0.9759984612464905,,0.9879961013793945,0.8726189732551575,,0.9856435656547546,0.7808879017829895
16,17,00:03:07,0.5703490972518921,0.9880996942520142,0.6043416857719421,0.970756471157074,,0.9888126254081726,0.8743967413902283,,0.982864499092102,0.7521488070487976
17,18,00:03:08,0.5677355527877808,0.9910861253738403,0.606865406036377,0.9771049618721008,,0.9904516339302063,0.8975400924682617,,0.9862395524978638,0.7859448790550232
18,19,00:03:07,0.5675579309463501,0.9911110401153564,0.6057000160217285,0.976784884929657,,0.9905143976211548,0.8983215689659119,,0.9861477613449097,0.7844099402427673
19,20,00:03:07,0.5673615336418152,0.9910524487495422,0.6046107411384583,0.9728619456291199,,0.9907280206680298,0.8937525749206543,,0.9839572310447693,0.7637981176376343
20,21,00:03:09,0.5672038197517395,0.9915557503700256,0.6058684587478638,0.9761984944343567,,0.991844892501831,0.884843647480011,,0.9858672022819519,0.781143307685852
21,22,00:03:09,0.5661756992340088,0.991827666759491,0.604430615901947,0.9762141108512878,,0.9918046593666077,0.8895576596260071,,0.9858373999595642,0.7835182547569275
22,23,00:03:08,0.5655226707458496,0.9925603866577148,0.6066884398460388,0.9713596105575562,,0.991810142993927,0.9015371799468994,,0.9834120869636536,0.7509816884994507
23,24,00:03:09,0.5649846792221069,0.9927920699119568,0.6052775979042053,0.9751875400543213,,0.9921535849571228,0.9010599255561829,,0.9853630661964417,0.7751643657684326
24,25,00:03:09,0.5645624995231628,0.9932618141174316,0.6060125231742859,0.9789259433746338,,0.9924229979515076,0.9044800400733948,,0.9872538447380066,0.799130916595459
25,26,00:03:07,0.5648425817489624,0.9928528666496277,0.6051436066627502,0.9764894247055054,,0.9922401905059814,0.9013355374336243,,0.9859625697135925,0.7847720384597778
26,27,00:03:09,0.5639806985855103,0.9937939643859863,0.6045575737953186,0.9755621552467346,,0.9926607608795166,0.9088817238807678,,0.9856435656547546,0.7776932120323181
27,28,00:03:07,0.5637732148170471,0.9937963485717773,0.6076554656028748,0.9766879677772522,,0.9932112097740173,0.9015079140663147,,0.9862622022628784,0.780707836151123
28,29,00:03:08,0.5637988448143005,0.9938492178916931,0.6072480082511902,0.9783693552017212,,0.9925556182861328,0.9099739193916321,,0.9870067238807678,0.7928507328033447
29,30,00:03:08,0.5632920861244202,0.9943567514419556,0.6041433215141296,0.9737334847450256,,0.9926949739456177,0.9184615612030029,,0.9844810366630554,0.7696357369422913
30,31,00:03:09,0.5637487769126892,0.993755578994751,0.6070953011512756,0.9777051210403442,,0.9921566247940063,0.9161134362220764,,0.9866943359375,0.7880815267562866
31,32,00:03:08,0.5636093020439148,0.9940267205238342,0.6047773957252502,0.9764752984046936,,0.993251621723175,0.9046018719673157,,0.986060619354248,0.7830938696861267
