,Epoch,elapsed,train_loss,train_accuracy,valid_loss,valid_accuracy,train_F1_<pad>,train_F1_video,train_F1_sponsor,valid_F1_<pad>,valid_F1_video,valid_F1_sponsor
0,1,00:02:59,0.7307515740394592,0.9499430656433105,0.6141256093978882,0.9615525007247925,,0.9684970378875732,0.40365737676620483,,0.9780032634735107,0.6951513290405273
1,2,00:03:03,0.6083512306213379,0.9663283824920654,0.6169294714927673,0.9749890565872192,,0.9771577715873718,0.7125835418701172,,0.9851068258285522,0.7623437643051147
2,3,00:03:04,0.5972944498062134,0.9733273983001709,0.606882631778717,0.9737713932991028,,0.9809237718582153,0.7609207630157471,,0.9844588041305542,0.7679072022438049
3,4,00:03:01,0.5920537114143372,0.9770326614379883,0.6061331629753113,0.9595488905906677,,0.9830078482627869,0.7855956554412842,,0.9767243266105652,0.6987466812133789
4,5,00:03:05,0.5844348073005676,0.9812481999397278,0.6033251285552979,0.9700201749801636,,0.9850994944572449,0.8199020624160767,,0.9824329614639282,0.7503437995910645
5,6,00:03:02,0.5807998180389404,0.9838084578514099,0.605952799320221,0.9734538793563843,,0.9867409467697144,0.8345472812652588,,0.9842329621315002,0.7708178758621216
6,7,00:03:04,0.5775509476661682,0.9861363768577576,0.6039667725563049,0.9776484966278076,,0.9878974556922913,0.855721652507782,,0.986503005027771,0.7958462238311768
7,8,00:03:04,0.5752385854721069,0.9873976111412048,0.6026169657707214,0.9748490452766418,,0.9884303212165833,0.8670535087585449,,0.9850150942802429,0.7797605991363525
8,9,00:03:06,0.5728212594985962,0.9887774586677551,0.6017681360244751,0.9780473113059998,,0.9892606735229492,0.8772562742233276,,0.9866766333580017,0.8005138039588928
9,10,00:03:05,0.5730603337287903,0.9881860613822937,0.6014922857284546,0.9753443002700806,,0.9890449643135071,0.8727717399597168,,0.9852460026741028,0.7845598459243774
10,11,00:03:02,0.5700097680091858,0.9901776313781738,0.601116955280304,0.9752506017684937,,0.9901148080825806,0.8884744644165039,,0.9852776527404785,0.7828757762908936
11,12,00:03:05,0.5704754590988159,0.9898020625114441,0.6044183969497681,0.9775007963180542,,0.9900527000427246,0.8841039538383484,,0.9863932132720947,0.7954291701316833
12,13,00:03:01,0.5694652199745178,0.9901351928710938,0.6031230092048645,0.9713216423988342,,0.9898673892021179,0.8914279341697693,,0.9831626415252686,0.7595328688621521
13,14,00:03:06,0.568177342414856,0.9913226962089539,0.6031708121299744,0.979833722114563,,0.9903975129127502,0.9015068411827087,,0.9877459406852722,0.8091916441917419
14,15,00:03:04,0.5669311285018921,0.9921827912330627,0.6033065319061279,0.9762499332427979,,0.990872323513031,0.9088993668556213,,0.9857354164123535,0.788892924785614
15,16,00:03:06,0.5660598874092102,0.9926116466522217,0.6032896637916565,0.9769874811172485,,0.9916120767593384,0.9063707590103149,,0.9862937331199646,0.7912680506706238
16,17,00:03:12,0.5664410591125488,0.9923630356788635,0.6018815040588379,0.9773961305618286,,0.9918104410171509,0.8985278010368347,,0.9863834381103516,0.7968385219573975
17,18,00:03:11,0.5654513239860535,0.9928514957427979,0.6031620502471924,0.978029727935791,,0.9916000962257385,0.9092268943786621,,0.9869473576545715,0.7956077456474304
